id,value,weight
Sample.Topic8.wings,-0.1845843,0.37974624
Sample.Topic8.happy,-0.176263699,0.362628227
Sample.Topic8.chinese,0.174520502,0.359041937
Sample.Topic8.service,0.166397485,0.342330413
Sample.Topic8.hour,-0.161232621,0.33170471
Sample.Topic8.vegas,0.123191751,0.253443031
Sample.Topic8.salad,-0.119703424,0.246266477
Sample.Topic8.pizza,0.111933323,0.230281008
Sample.Topic9,,
Sample.Topic9.breakfast,-0.439621874,1
Sample.Topic9.beer,-0.347013808,0.789346091
Sample.Topic9.bar,-0.33198189,0.755153256
Sample.Topic9.sushi,-0.309503755,0.704022646
Sample.Topic9.buffet,-0.280821467,0.638779558
Sample.Topic9.place,0.191183406,0.434881467
Sample.Topic9.service,0.189302602,0.430603237
Sample.Topic9.love,0.171395723,0.389870781
Sample.Topic9.happy,-0.143622941,0.32669653
Sample.Topic9.chinese,-0.138460776,0.314954245
Sample.Topic9.hour,-0.138134116,0.314211198
Sample.Topic9.selection,-0.130304009,0.296400194
Sample.Topic9.eggs,-0.119533262,0.27190017
Sample.Topic9.tacos,0.109315137,0.248657184
Sample.Topic9.best,-0.093620008,0.212955755
