id,value,weight
Boot,,
Boot.Chinese,,
Boot.Chinese.Topic7.friendly,0.034517884,0.973528169
Boot.Chinese.Topic7.good,0.031229708,0.880789809
Boot.Chinese.Topic7.service,0.031051867,0.875774055
Boot.Chinese.Topic7.staff,0.028189702,0.795050733
Boot.Chinese.Topic7.excellent,0.025683513,0.724367212
Boot.Chinese.Topic7.place,0.021396624,0.603461562
Boot.Chinese.Topic7.portions,0.019652648,0.554275182
Boot.Chinese.Topic7.prices,0.019202823,0.541588503
Boot.Chinese.Topic7.chinese,0.019144455,0.539942316
Boot.Chinese.Topic7.restaurant,0.017983839,0.507208781
Boot.Chinese.Topic7.clean,0.017781585,0.501504492
Boot.Chinese.Topic7.fast,0.01604307,0.452472132
Boot.Chinese.Topic7.lunch,0.015975459,0.450565259
Boot.Chinese.Topic7.nice,0.015188745,0.428377102
Boot.Chinese.Topic8,,
Boot.Chinese.Topic8.pork,0.030581804,1
Boot.Chinese.Topic8.chicken,0.02884352,0.943159534
Boot.Chinese.Topic8.rice,0.025887147,0.846488552
Boot.Chinese.Topic8.duck,0.02578545,0.843163144
Boot.Chinese.Topic8.beef,0.025472788,0.832939352
Boot.Chinese.Topic8.fried,0.023028344,0.753008031
Boot.Chinese.Topic8.good,0.021061083,0.688680203
Boot.Chinese.Topic8.orange,0.015871704,0.518991751
Boot.Chinese.Topic8.chinese,0.014629772,0.478381589
Boot.Chinese.Topic8.chow,0.014549228,0.475747866
Boot.Chinese.Topic8.bbq,0.014541262,0.475487385
Boot.Chinese.Topic8.mongolian,0.014509808,0.474458864
Boot.Chinese.Topic8.mein,0.013805884,0.451441125
Boot.Chinese.Topic8.noodles,0.012893645,0.421611655
Boot.Chinese.Topic8.ordered,0.012843182,0.419961556
Boot.Chinese.Topic9,,
Boot.Chinese.Topic9.dim,0.09728152,1
Boot.Chinese.Topic9.sum,0.096089445,0.987746131
Boot.Chinese.Topic9.dumplings,0.049731307,0.511210218
Boot.Chinese.Topic9.place,0.016769866,0.172384909
Boot.Chinese.Topic9.good,0.016711473,0.171784662
Boot.Chinese.Topic9.menu,0.013277376,0.136484052
Boot.Chinese.Topic9.restaurant,0.013249337,0.136195826
Boot.Chinese.Topic9.pork,0.011959331,0.122935281
Boot.Chinese.Topic9.like,0.011829236,0.121597977
Boot.Chinese.Topic9.service,0.011820861,0.121511886
Boot.Chinese.Topic9.chinese,0.011372816,0.116906233
Boot.Chinese.Topic9.best,0.010178241,0.104626665
Boot.Chinese.Topic9.great,0.009827144,0.101017578
Boot.Chinese.Topic9.dishes,0.009456224,0.097204731
Boot.Chinese.Topic9.ve,0.009418939,0.096821462
Boot.Italian,,
Boot.Italian.Topic0,,
Boot.Italian.Topic0.happy,0.064874254,1
Boot.Italian.Topic0.hour,0.056805115,0.875618778
Boot.Italian.Topic0.love,0.042065807,0.648420666
Boot.Italian.Topic0.great,0.031740192,0.48925714
Boot.Italian.Topic0.meatballs,0.026684875,0.411332283
Boot.Italian.Topic0.place,0.025728256,0.396586541
Boot.Italian.Topic0.pizza,0.02014601,0.310539371
Boot.Italian.Topic0.good,0.019680172,0.303358741
Boot.Italian.Topic0.food,0.019103376,0.294467756
Boot.Italian.Topic0.free,0.017148256,0.264330685
Boot.Italian.Topic0.amazing,0.016865468,0.259971668
Boot.Italian.Topic0.menu,0.014695653,0.226525194
Boot.Italian.Topic0.service,0.014605914,0.225141918
Boot.Italian.Topic0.drinks,0.014355723,0.221285365
Boot.Italian.Topic0.delicious,0.012890643,0.198701977
Boot.Italian.Topic1,,
Boot.Italian.Topic1.pizza,0.09500011,1
Boot.Italian.Topic1.crust,0.03399556,0.357847586
Boot.Italian.Topic1.good,0.020397501,0.214710288
Boot.Italian.Topic1.pizzas,0.01988427,0.209307863
Boot.Italian.Topic1.place,0.01898834,0.199877032
Boot.Italian.Topic1.cheese,0.017445562,0.183637282
Boot.Italian.Topic1.like,0.015539091,0.16356919
Boot.Italian.Topic1.great,0.015272464,0.160762593
Boot.Italian.Topic1.sauce,0.013544044,0.142568719
Boot.Italian.Topic1.best,0.013057856,0.137450957
Boot.Italian.Topic1.just,0.012966848,0.136492979
Boot.Italian.Topic1.fresh,0.01191701,0.125442065
Boot.Italian.Topic1.really,0.011573718,0.121828469
Boot.Italian.Topic1.try,0.011329368,0.119256367
Boot.Italian.Topic1.ordered,0.010951638,0.115280267
Boot.Italian.Topic2,,
Boot.Italian.Topic2.great,0.06881436,1
Boot.Italian.Topic2.food,0.04938025,0.717586417
Boot.Italian.Topic2.service,0.042776186,0.621617145
Boot.Italian.Topic2.pizza,0.033444557,0.486011306
Boot.Italian.Topic2.place,0.032113574,0.46666966
Boot.Italian.Topic2.staff,0.030258073,0.439705797
Boot.Italian.Topic2.friendly,0.02947322,0.42830043
Boot.Italian.Topic2.good,0.028557623,0.414995111
Boot.Italian.Topic2.amazing,0.026043462,0.378459699
Boot.Italian.Topic2.excellent,0.023273101,0.338201227
Boot.Italian.Topic2.atmosphere,0.023269765,0.338152749
Boot.Italian.Topic2.awesome,0.022235537,0.323123502
Boot.Italian.Topic2.delicious,0.016853603,0.244914041
Boot.Italian.Topic2.love,0.016833154,0.244616879
Boot.Italian.Topic2.nice,0.015248024,0.221582007
Boot.Italian.Topic3,,
Boot.Italian.Topic3.italian,0.040320646,1
Boot.Italian.Topic3.food,0.028728427,0.712499175
Boot.Italian.Topic3.vegas,0.0280952,0.696794392
Boot.Italian.Topic3.best,0.02755521,0.683401997
Boot.Italian.Topic3.restaurant,0.024664488,0.611708652
Boot.Italian.Topic3.family,0.02092026,0.518847342
Boot.Italian.Topic3.place,0.018430611,0.457101084
Boot.Italian.Topic3.great,0.017948255,0.445138081
Boot.Italian.Topic3.new,0.016674204,0.413540101
Boot.Italian.Topic3.ve,0.016098704,0.399267016
Boot.Italian.Topic3.service,0.015405885,0.38208428
Boot.Italian.Topic3.restaurants,0.015362288,0.381003023
Boot.Italian.Topic3.pizza,0.014517954,0.360062535
Boot.Italian.Topic3.good,0.014023094,0.347789418
Boot.Italian.Topic3.favorite,0.013669672,0.339024119
Boot.Italian.Topic4,,
Boot.Italian.Topic4.good,0.02785314,1
Boot.Italian.Topic4.food,0.02639886,0.947787574
Boot.Italian.Topic4.place,0.022347465,0.802331981
Boot.Italian.Topic4.just,0.020429952,0.733488289
Boot.Italian.Topic4.pizza,0.019979708,0.717323361
Boot.Italian.Topic4.location,0.017908182,0.642950202
Boot.Italian.Topic4.service,0.017299002,0.62107906
Boot.Italian.Topic4.ok,0.016657416,0.598044457
Boot.Italian.Topic4.don,0.016065652,0.576798594
Boot.Italian.Topic4.like,0.015906284,0.57107687
Boot.Italian.Topic4.really,0.015826613,0.568216474
Boot.Italian.Topic4.bad,0.015788695,0.566855119
Boot.Italian.Topic4.pretty,0.015060852,0.540723667
Boot.Italian.Topic4.better,0.014603375,0.524299056
Boot.Italian.Topic4.time,0.013813813,0.495951731
Boot.Italian.Topic5,,
Boot.Italian.Topic5.sandwich,0.036187008,1
Boot.Italian.Topic5.salad,0.02226151,0.615179625
Boot.Italian.Topic5.lunch,0.02032381,0.561632783
Boot.Italian.Topic5.good,0.019763535,0.546150016
Boot.Italian.Topic5.bread,0.019328458,0.534126999
Boot.Italian.Topic5.chicken,0.018725194,0.517456265
Boot.Italian.Topic5.fresh,0.01579267,0.436418231
Boot.Italian.Topic5.cheese,0.015441307,0.426708586
Boot.Italian.Topic5.pizza,0.015112287,0.417616372
Boot.Italian.Topic5.olive,0.014558179,0.402304026
Boot.Italian.Topic5.sauce,0.013701416,0.378628042
Boot.Italian.Topic5.great,0.013516388,0.373514937
Boot.Italian.Topic5.italian,0.013408195,0.370525107
Boot.Italian.Topic5.delicious,0.013219628,0.365314203
Boot.Italian.Topic5.soup,0.013117528,0.362492749
Boot.Italian.Topic6,,
Boot.Italian.Topic6.pasta,0.024729673,1
Boot.Italian.Topic6.sauce,0.022070529,0.892471526
Boot.Italian.Topic6.good,0.019104969,0.772552431
Boot.Italian.Topic6.dish,0.017653687,0.713866576
Boot.Italian.Topic6.like,0.014489728,0.585924771
Boot.Italian.Topic6.ordered,0.014466153,0.584971463
Boot.Italian.Topic6.food,0.013343729,0.539583722
Boot.Italian.Topic6.meat,0.01319623,0.533619268
Boot.Italian.Topic6.just,0.012534202,0.506848675
Boot.Italian.Topic6.meatballs,0.012314932,0.497981979
Boot.Italian.Topic6.chicken,0.012150732,0.491342203
Boot.Italian.Topic6.italian,0.012040732,0.486894105
Boot.Italian.Topic6.restaurant,0.01166411,0.471664546
Boot.Italian.Topic6.place,0.011420359,0.461807926
Boot.Italian.Topic6.flavor,0.011366742,0.459639802
Boot.Italian.Topic7,,
Boot.Italian.Topic7.minutes,0.018002873,1
Boot.Italian.Topic7.table,0.017305808,0.961280347
Boot.Italian.Topic7.food,0.017266795,0.959113304
Boot.Italian.Topic7.came,0.015733372,0.873936732
Boot.Italian.Topic7.order,0.015334852,0.851800265
Boot.Italian.Topic7.asked,0.014556156,0.80854628
Boot.Italian.Topic7.time,0.014314638,0.795130755
Boot.Italian.Topic7.got,0.014190353,0.788227135
Boot.Italian.Topic7.said,0.014132655,0.785022202
Boot.Italian.Topic7.pizza,0.013721635,0.762191401
Boot.Italian.Topic7.service,0.013581397,0.754401645
Boot.Italian.Topic7.just,0.013501294,0.749952188
Boot.Italian.Topic7.told,0.01325063,0.736028633
Boot.Italian.Topic7.didn,0.013239441,0.735407093
Boot.Italian.Topic7.server,0.013164505,0.731244674
Boot.Italian.Topic8,,
Boot.Italian.Topic8.bar,0.029816972,1
Boot.Italian.Topic8.wine,0.02871978,0.963202434
Boot.Italian.Topic8.great,0.020280546,0.680167859
Boot.Italian.Topic8.food,0.017064912,0.572322099
Boot.Italian.Topic8.place,0.01618242,0.54272513
Boot.Italian.Topic8.nice,0.015634272,0.524341372
Boot.Italian.Topic8.good,0.015457168,0.518401667
Boot.Italian.Topic8.night,0.015070912,0.505447434
Boot.Italian.Topic8.glass,0.014544391,0.487789002
Boot.Italian.Topic8.service,0.01432206,0.480332476
Boot.Italian.Topic8.dining,0.013675495,0.458648014
Boot.Italian.Topic8.restaurant,0.01362808,0.457057813
Boot.Italian.Topic8.experience,0.013316955,0.446623302
Boot.Italian.Topic8.enjoyed,0.012176727,0.408382414
Boot.Italian.Topic8.area,0.012166892,0.408052568
Boot.Italian.Topic9,,
Boot.Italian.Topic9.steak,0.024687134,1
Boot.Italian.Topic9.loved,0.02013358,0.815549509
Boot.Italian.Topic9.husband,0.01896543,0.768231339
Boot.Italian.Topic9.shrimp,0.018750949,0.759543372
Boot.Italian.Topic9.delicious,0.017280513,0.699980524
Boot.Italian.Topic9.great,0.015864173,0.64260894
Boot.Italian.Topic9.good,0.01533954,0.621357668
Boot.Italian.Topic9.dessert,0.015258867,0.618089852
Boot.Italian.Topic9.ordered,0.015191927,0.615378318
Boot.Italian.Topic9.amazing,0.015018735,0.608362842
Boot.Italian.Topic9.food,0.014031178,0.56835994
Boot.Italian.Topic9.perfect,0.013596164,0.550738859
Boot.Italian.Topic9.pasta,0.01293347,0.523895159
Boot.Italian.Topic9.service,0.012442737,0.504017072
Boot.Italian.Topic9.dinner,0.012371987,0.501151207
